Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,IL19,NM_013371.3,3.63,3.63,1.00,1.11,3.63,-3.26
Endogenous,IL1A,NM_000575.3,6.35,6.35,1.00,3.34,6.35,-1.90
Endogenous,IL1B,NM_000576.2,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,IL1R1,NM_000877.2,28.11,28.11,1.00,44.47,28.11,1.58
Endogenous,IL1R2,NM_173343.1,19.04,19.04,1.00,17.79,19.04,-1.07
Endogenous,IL1RAP,NM_002182.2,29.92,29.92,1.00,31.13,29.92,1.04
Endogenous,IL20RB,NM_144717.2,22.67,22.67,1.00,25.57,22.67,1.13
Endogenous,IL22RA1,NM_021258.2,9.07,9.07,1.00,11.12,9.07,1.23
Endogenous,IL22RA2,NM_181309.1,5.44,5.44,1.00,4.45,5.44,-1.22
Endogenous,IL23A,NM_016584.2,16.32,16.32,1.00,14.45,16.32,-1.13
Endogenous,IL23R,NM_144701.2,9.97,9.97,1.00,5.56,9.97,-1.79
Endogenous,IL24,NM_181339.1,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,IL2RA,NM_000417.1,4.53,4.53,1.00,1.11,4.53,-4.08
Endogenous,IL2RB,NM_000878.2,1.00,1.00,1.00,2.22,1.00,2.22
Endogenous,IL3,NM_000588.3,17.23,17.23,1.00,10.01,17.23,-1.72
Endogenous,IL3RA,NM_002183.2,6.35,6.35,1.00,4.45,6.35,-1.43
Endogenous,IL5RA,NM_000564.3,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,IL6,NM_000600.1,4.53,4.53,1.00,3.34,4.53,-1.36
Endogenous,IL6R,NM_000565.2,133.30,133.30,1.00,170.11,133.30,1.28
Endogenous,IL7,NM_000880.2,14.51,14.51,1.00,17.79,14.51,1.23
Endogenous,IL8,NM_000584.2,18.14,18.14,1.00,17.79,18.14,-1.02
Endogenous,INHBA,NM_002192.2,22.67,22.67,1.00,40.02,22.67,1.77
Endogenous,INHBB,NM_002193.2,50.78,50.78,1.00,38.91,50.78,-1.31
Endogenous,IRAK2,NM_001570.3,99.75,99.75,1.00,106.73,99.75,1.07
Endogenous,IRS1,NM_005544.2,189.52,189.52,1.00,174.55,189.52,-1.09
Endogenous,ITGA2,NM_002203.2,214.91,214.91,1.00,226.81,214.91,1.06
Endogenous,ITGA3,NM_005501.2,125.14,125.14,1.00,108.96,125.14,-1.15
Endogenous,ITGA6,NM_000210.1,28.11,28.11,1.00,25.57,28.11,-1.10
Endogenous,ITGA7,NM_002206.1,24.48,24.48,1.00,12.23,24.48,-2.00
Endogenous,ITGA8,NM_003638.1,6.35,6.35,1.00,3.34,6.35,-1.90
Endogenous,ITGA9,NM_002207.2,11.79,11.79,1.00,11.12,11.79,-1.06
Endogenous,ITGB3,NM_000212.2,6.35,6.35,1.00,7.78,6.35,1.23
Endogenous,ITGB4,NM_001005731.1,2.72,2.72,1.00,5.56,2.72,2.04
Endogenous,ITGB6,NM_001282353.1,12.70,12.70,1.00,11.12,12.70,-1.14
Endogenous,ITGB7,NM_000889.1,9.07,9.07,1.00,8.89,9.07,-1.02
Endogenous,ITGB8,NM_002214.2,199.50,199.50,1.00,173.44,199.50,-1.15
Endogenous,JAG1,NM_000214.2,14.51,14.51,1.00,14.45,14.51,-1.00
Endogenous,JAG2,NM_145159.1,300.16,300.16,1.00,197.90,300.16,-1.52
Endogenous,JAK1,NM_002227.1,42.62,42.62,1.00,43.36,42.62,1.02
Endogenous,JAK2,NM_004972.2,282.02,282.02,1.00,234.59,282.02,-1.20
Endogenous,JAK3,NM_000215.2,12.70,12.70,1.00,5.56,12.70,-2.28
Endogenous,JUN,NM_002228.3,336.43,336.43,1.00,347.99,336.43,1.03
Endogenous,KAT2B,NM_003884.3,91.59,91.59,1.00,103.40,91.59,1.13
Endogenous,KDM5C,NM_004187.2,581.27,581.27,1.00,537.00,581.27,-1.08
Endogenous,KDM6A,NM_021140.2,227.61,227.61,1.00,215.69,227.61,-1.06
Endogenous,KIT,NM_000222.1,14.51,14.51,1.00,23.35,14.51,1.61
Endogenous,KITLG,NM_003994.4,202.22,202.22,1.00,223.47,202.22,1.11
Endogenous,KLF4,NM_004235.4,401.72,401.72,1.00,421.37,401.72,1.05
Endogenous,KMT2C,NM_170606.2,454.31,454.31,1.00,368.01,454.31,-1.23
Endogenous,KMT2D,NM_003482.3,355.47,355.47,1.00,342.43,355.47,-1.04
Endogenous,KRAS,NM_004985.3,1368.38,1368.38,1.00,1255.22,1368.38,-1.09
Endogenous,LAMA1,NM_005559.2,9.07,9.07,1.00,1.11,9.07,-8.16
Endogenous,LAMA3,NM_000227.3,44.43,44.43,1.00,37.80,44.43,-1.18
Endogenous,LAMA5,NM_005560.3,75.27,75.27,1.00,56.70,75.27,-1.33
Endogenous,LAMB3,NM_000228.2,29.02,29.02,1.00,27.79,29.02,-1.04
Endogenous,LAMC2,NM_005562.2,17.23,17.23,1.00,20.01,17.23,1.16
Endogenous,LAMC3,NM_006059.3,4.53,4.53,1.00,7.78,4.53,1.72
Endogenous,LAT,NM_001014987.1,39.90,39.90,1.00,22.24,39.90,-1.79
Endogenous,LEF1,NM_016269.3,260.26,260.26,1.00,270.17,260.26,1.04
Endogenous,LEFTY1,NM_020997.2,12.70,12.70,1.00,18.90,12.70,1.49
Endogenous,LEFTY2,NM_003240.2,1.00,1.00,1.00,4.45,1.00,4.45
Endogenous,LEP,NM_000230.2,6.35,6.35,1.00,2.22,6.35,-2.85
Endogenous,LEPR,NM_001003679.1,36.27,36.27,1.00,23.35,36.27,-1.55
Endogenous,LIF,NM_002309.3,43.53,43.53,1.00,56.70,43.53,1.30
Endogenous,LIFR,NM_002310.3,59.85,59.85,1.00,70.04,59.85,1.17
Endogenous,LIG4,NM_002312.3,234.86,234.86,1.00,211.24,234.86,-1.11
Endogenous,LRP2,NM_004525.2,12.70,12.70,1.00,18.90,12.70,1.49
Endogenous,MAD2L2,NM_001127325.1,866.91,866.91,1.00,928.35,866.91,1.07
Endogenous,MAML2,NM_032427.1,9.97,9.97,1.00,3.34,9.97,-2.99
Endogenous,MAP2K1,NM_002755.2,668.32,668.32,1.00,657.07,668.32,-1.02
Endogenous,MAP2K2,NM_030662.2,995.68,995.68,1.00,976.16,995.68,-1.02
Endogenous,MAP2K4,NM_003010.2,332.80,332.80,1.00,319.09,332.80,-1.04
Endogenous,MAP2K6,NM_002758.3,83.43,83.43,1.00,76.71,83.43,-1.09
Endogenous,MAP3K1,NM_005921.1,299.25,299.25,1.00,291.29,299.25,-1.03
Endogenous,MAP3K12,NM_006301.2,108.82,108.82,1.00,94.50,108.82,-1.15
Endogenous,MAP3K13,NM_004721.3,38.99,38.99,1.00,52.25,38.99,1.34
Endogenous,MAP3K14,NM_003954.1,189.52,189.52,1.00,181.22,189.52,-1.05
Endogenous,MAP3K5,NM_005923.3,174.11,174.11,1.00,141.20,174.11,-1.23
Endogenous,MAP3K8,NM_005204.2,7.25,7.25,1.00,5.56,7.25,-1.31
Endogenous,MAPK1,NM_138957.2,1352.96,1352.96,1.00,1349.72,1352.96,-1.00
Endogenous,MAPK10,NM_002753.2,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,MAPK12,NM_002969.3,323.73,323.73,1.00,291.29,323.73,-1.11
Endogenous,MAPK3,NM_001040056.1,587.61,587.61,1.00,505.87,587.61,-1.16
Endogenous,MAPK8,NM_002750.2,581.27,581.27,1.00,602.59,581.27,1.04
Endogenous,MAPK8IP1,NM_005456.2,221.26,221.26,1.00,201.24,221.26,-1.10
Endogenous,MAPK8IP2,NM_012324.2,337.33,337.33,1.00,315.75,337.33,-1.07
Endogenous,MAPK9,NM_139068.2,611.19,611.19,1.00,614.82,611.19,1.01
Endogenous,MAPT,NM_016834.3,46.25,46.25,1.00,34.47,46.25,-1.34
Endogenous,MCM2,NM_004526.2,1017.44,1017.44,1.00,982.83,1017.44,-1.04
Endogenous,MCM4,NM_182746.1,3132.13,3132.13,1.00,2819.52,3132.13,-1.11
Endogenous,MCM5,NM_006739.3,441.62,441.62,1.00,406.92,441.62,-1.09
Endogenous,MCM7,NM_182776.1,8903.09,8903.09,1.00,8076.11,8903.09,-1.10
Endogenous,MDC1,NM_014641.2,1022.88,1022.88,1.00,866.09,1022.88,-1.18
Endogenous,MDM2,NM_006878.2,2706.84,2706.84,1.00,3491.05,2706.84,1.29
Endogenous,MED12,NM_005120.2,355.47,355.47,1.00,297.96,355.47,-1.19
Endogenous,MEN1,NM_130802.2,938.55,938.55,1.00,856.09,938.55,-1.10
Endogenous,MET,NM_000245.2,216.73,216.73,1.00,182.34,216.73,-1.19
Endogenous,MFNG,NM_002405.2,11.79,11.79,1.00,10.01,11.79,-1.18
Endogenous,MGMT,NM_002412.3,18.14,18.14,1.00,17.79,18.14,-1.02
Endogenous,MLF1,NM_022443.3,574.01,574.01,1.00,645.96,574.01,1.13
Endogenous,MLH1,NM_000249.2,1104.50,1104.50,1.00,1018.41,1104.50,-1.08
Endogenous,MLLT3,NM_004529.2,90.68,90.68,1.00,97.84,90.68,1.08
Endogenous,MLLT4,NM_005936.2,542.27,542.27,1.00,485.86,542.27,-1.12
Endogenous,MMP3,NM_002422.3,5.44,5.44,1.00,3.34,5.44,-1.63
Endogenous,MMP7,NM_002423.3,4.53,4.53,1.00,7.78,4.53,1.72
Endogenous,MMP9,NM_004994.2,4.53,4.53,1.00,5.56,4.53,1.23
Endogenous,MNAT1,NM_002431.2,488.77,488.77,1.00,514.76,488.77,1.05
Endogenous,MPO,NM_000250.1,4.53,4.53,1.00,5.56,4.53,1.23
Endogenous,MSH2,NM_000251.1,659.25,659.25,1.00,585.92,659.25,-1.13
Endogenous,MSH6,NM_000179.1,558.60,558.60,1.00,526.99,558.60,-1.06
Endogenous,MTOR,NM_004958.2,331.89,331.89,1.00,333.54,331.89,1.00
Endogenous,MUTYH,NM_012222.2,82.52,82.52,1.00,62.26,82.52,-1.33
Endogenous,MYB,NM_005375.2,111.54,111.54,1.00,106.73,111.54,-1.05
Endogenous,MYC,NM_002467.3,2664.22,2664.22,1.00,2749.48,2664.22,1.03
Endogenous,MYCN,NM_005378.4,14.51,14.51,1.00,11.12,14.51,-1.31
Endogenous,MYD88,NM_002468.3,354.56,354.56,1.00,283.51,354.56,-1.25
Endogenous,NASP,NM_172164.1,644.74,644.74,1.00,513.65,644.74,-1.26
Endogenous,NBN,NM_001024688.1,931.30,931.30,1.00,867.20,931.30,-1.07
Endogenous,NCOR1,NM_006311.3,1509.84,1509.84,1.00,1365.29,1509.84,-1.11
Endogenous,NF1,NM_000267.2,904.09,904.09,1.00,905.00,904.09,1.00
Endogenous,NF2,NM_181828.2,989.33,989.33,1.00,956.15,989.33,-1.03
Endogenous,NFATC1,NM_172389.1,11.79,11.79,1.00,7.78,11.79,-1.51
Endogenous,NFE2L2,NM_006164.3,352.75,352.75,1.00,344.66,352.75,-1.02
Endogenous,NFKB1,NM_003998.2,189.52,189.52,1.00,175.66,189.52,-1.08
Endogenous,NFKBIA,NM_020529.1,1251.40,1251.40,1.00,1444.23,1251.40,1.15
Endogenous,NFKBIZ,NM_001005474.1,477.89,477.89,1.00,622.61,477.89,1.30
Endogenous,NGF,NM_002506.2,10.88,10.88,1.00,4.45,10.88,-2.45
Endogenous,NGFR,NM_002507.1,9.07,9.07,1.00,11.12,9.07,1.23
Endogenous,NKD1,NM_033119.3,3.63,3.63,1.00,4.45,3.63,1.23
Endogenous,NODAL,NM_018055.3,2.72,2.72,1.00,5.56,2.72,2.04
Endogenous,NOG,NM_005450.4,5.44,5.44,1.00,7.78,5.44,1.43
Endogenous,NOTCH1,NM_017617.3,145.09,145.09,1.00,135.64,145.09,-1.07
Endogenous,NOTCH2,NM_024408.3,194.06,194.06,1.00,172.33,194.06,-1.13
Endogenous,NOTCH3,NM_000435.2,312.85,312.85,1.00,252.38,312.85,-1.24
Endogenous,NPM1,NM_002520.5,77.08,77.08,1.00,70.04,77.08,-1.10
Endogenous,NPM2,NM_182795.1,253.91,253.91,1.00,257.94,253.91,1.02
Endogenous,NR4A1,NM_173157.1,88.87,88.87,1.00,116.74,88.87,1.31
Endogenous,NR4A3,NM_173198.1,23.58,23.58,1.00,35.58,23.58,1.51
Endogenous,NRAS,NM_002524.3,382.68,382.68,1.00,369.12,382.68,-1.04
Endogenous,NTF3,NM_002527.4,5.44,5.44,1.00,4.45,5.44,-1.22
Endogenous,NTHL1,NM_002528.5,451.59,451.59,1.00,439.16,451.59,-1.03
Endogenous,NUMBL,NM_004756.3,163.23,163.23,1.00,145.65,163.23,-1.12
Endogenous,NUPR1,NM_001042483.1,1261.38,1261.38,1.00,1149.60,1261.38,-1.10
Endogenous,OSM,NM_020530.3,14.51,14.51,1.00,5.56,14.51,-2.61
Endogenous,PAK3,NM_002578.2,7.25,7.25,1.00,5.56,7.25,-1.31
Endogenous,PAK7,NM_177990.1,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,PAX3,NM_013942.3,1.00,1.00,1.00,1.11,1.00,1.11
Endogenous,PAX5,NM_016734.1,92.49,92.49,1.00,67.82,92.49,-1.36
Endogenous,PAX8,NM_013953.3,33.55,33.55,1.00,41.14,33.55,1.23
Endogenous,PBRM1,NM_181042.3,1127.17,1127.17,1.00,1096.23,1127.17,-1.03
Endogenous,PBX1,NM_002585.2,87.05,87.05,1.00,71.16,87.05,-1.22
Endogenous,PBX3,NM_006195.5,175.01,175.01,1.00,161.21,175.01,-1.09
Endogenous,PCK1,NM_002591.2,2.72,2.72,1.00,3.34,2.72,1.23
Endogenous,PCNA,NM_002592.2,1040.11,1040.11,1.00,978.38,1040.11,-1.06
Endogenous,PDGFB,NM_033016.2,10.88,10.88,1.00,18.90,10.88,1.74
Endogenous,PDGFC,NM_016205.1,9.97,9.97,1.00,3.34,9.97,-2.99
Endogenous,PDGFD,NM_025208.4,2.72,2.72,1.00,4.45,2.72,1.63
Endogenous,PDGFRA,NM_006206.3,6.35,6.35,1.00,3.34,6.35,-1.90
Endogenous,PDGFRB,NM_002609.3,2.72,2.72,1.00,4.45,2.72,1.63
Endogenous,PGF,NM_002632.5,6.35,6.35,1.00,10.01,6.35,1.58
Endogenous,PIK3CA,NM_006218.2,266.60,266.60,1.00,221.25,266.60,-1.20
Endogenous,PIK3CB,NM_006219.1,249.37,249.37,1.00,224.58,249.37,-1.11
Endogenous,PIK3CD,NM_005026.3,1.00,1.00,1.00,3.34,1.00,3.34
Endogenous,PIK3R1,NM_181504.2,211.29,211.29,1.00,194.56,211.29,-1.09
Endogenous,PIK3R2,NM_005027.2,306.50,306.50,1.00,300.19,306.50,-1.02
Endogenous,PIK3R3,NM_003629.3,502.37,502.37,1.00,465.84,502.37,-1.08
Endogenous,PIK3R5,NM_001142633.1,7.25,7.25,1.00,5.56,7.25,-1.31
Endogenous,PIM1,NM_002648.2,81.61,81.61,1.00,74.49,81.61,-1.10
Endogenous,PITX2,NM_000325.5,17.23,17.23,1.00,17.79,17.23,1.03
Endogenous,PKMYT1,NM_004203.3,321.01,321.01,1.00,276.84,321.01,-1.16
Endogenous,PLA1A,NM_015900.2,27.20,27.20,1.00,16.68,27.20,-1.63
Endogenous,PLA2G10,NM_003561.1,26.30,26.30,1.00,22.24,26.30,-1.18
Endogenous,PLA2G2A,NM_000300.2,10.88,10.88,1.00,8.89,10.88,-1.22
Endogenous,PLA2G3,NM_015715.3,600.31,600.31,1.00,572.58,600.31,-1.05
Endogenous,PLA2G4A,NM_024420.2,76.17,76.17,1.00,93.39,76.17,1.23
Endogenous,PLA2G4C,NM_003706.2,9.97,9.97,1.00,14.45,9.97,1.45
Endogenous,PLA2G4E,NM_001206670.1,8.16,8.16,1.00,7.78,8.16,-1.05
Endogenous,PLA2G4F,NM_213600.2,13.60,13.60,1.00,18.90,13.60,1.39
Endogenous,PLAT,NM_000931.2,41.71,41.71,1.00,55.59,41.71,1.33
Endogenous,PLAU,NM_002658.2,8.16,8.16,1.00,3.34,8.16,-2.45
Endogenous,PLCB1,NM_182734.1,290.18,290.18,1.00,285.73,290.18,-1.02
Endogenous,PLCB4,NM_000933.3,116.98,116.98,1.00,135.64,116.98,1.16
Endogenous,PLCG2,NM_002661.2,7.25,7.25,1.00,5.56,7.25,-1.31
Endogenous,PLD1,NM_002662.3,7.25,7.25,1.00,8.89,7.25,1.23
Endogenous,PML,NM_002675.3,76.17,76.17,1.00,67.82,76.17,-1.12
Endogenous,POLB,NM_002690.1,447.06,447.06,1.00,582.58,447.06,1.30
Endogenous,POLD1,NM_002691.2,112.44,112.44,1.00,117.85,112.44,1.05
Endogenous,POLE2,NM_002692.2,351.84,351.84,1.00,343.55,351.84,-1.02
Endogenous,POLR2D,NM_004805.3,589.43,589.43,1.00,563.68,589.43,-1.05
Endogenous,POLR2H,NM_001278698.1,1125.35,1125.35,1.00,1070.66,1125.35,-1.05
Endogenous,POLR2J,NM_006234.4,180.46,180.46,1.00,170.11,180.46,-1.06
Endogenous,PPARG,NM_015869.3,7.25,7.25,1.00,7.78,7.25,1.07
Endogenous,PPARGC1A,NM_013261.3,32.65,32.65,1.00,25.57,32.65,-1.28
Endogenous,PPP2CB,NM_001009552.1,2688.70,2688.70,1.00,2644.97,2688.70,-1.02
Endogenous,PPP2R1A,NM_014225.3,3405.08,3405.08,1.00,3347.63,3405.08,-1.02
Endogenous,PPP2R2B,NM_181676.2,35.37,35.37,1.00,26.68,35.37,-1.33
Endogenous,PPP2R2C,NM_181876.2,58.04,58.04,1.00,42.25,58.04,-1.37
Endogenous,PPP3CA,NM_000944.4,4965.71,4965.71,1.00,5023.11,4965.71,1.01
Endogenous,PPP3CB,NM_001142354.1,219.45,219.45,1.00,205.68,219.45,-1.07
Endogenous,PPP3CC,NM_005605.3,174.11,174.11,1.00,165.66,174.11,-1.05
Endogenous,PPP3R1,NM_000945.3,2187.23,2187.23,1.00,1986.78,2187.23,-1.10
Endogenous,PPP3R2,NM_147180.2,6.35,6.35,1.00,5.56,6.35,-1.14
Endogenous,PRDM1,NM_182907.1,5.44,5.44,1.00,4.45,5.44,-1.22
Endogenous,PRKAA2,NM_006252.2,284.74,284.74,1.00,221.25,284.74,-1.29
Endogenous,PRKACA,NM_002730.3,1967.78,1967.78,1.00,1891.17,1967.78,-1.04
Endogenous,PRKACB,NM_182948.2,120.61,120.61,1.00,117.85,120.61,-1.02
Endogenous,PRKACG,NM_002732.2,9.07,9.07,1.00,11.12,9.07,1.23
Endogenous,PRKAR2A,NM_004157.2,1691.21,1691.21,1.00,1627.67,1691.21,-1.04
Endogenous,PRKAR2B,NM_002736.2,463.38,463.38,1.00,433.60,463.38,-1.07
Endogenous,PRKCA,NM_002737.2,107.91,107.91,1.00,114.52,107.91,1.06
Endogenous,PRKCB,NM_212535.1,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,PRKCG,NM_002739.3,7.25,7.25,1.00,10.01,7.25,1.38
Endogenous,PRKDC,NM_006904.6,2417.56,2417.56,1.00,2375.91,2417.56,-1.02
Endogenous,PRKX,NM_005044.1,42.62,42.62,1.00,37.80,42.62,-1.13
Endogenous,PRL,NM_000948.3,4.53,4.53,1.00,2.22,4.53,-2.04
Endogenous,PRLR,NM_001204318.1,226.70,226.70,1.00,236.81,226.70,1.04
Endogenous,PRMT8,NM_019854.3,3.63,3.63,1.00,4.45,3.63,1.23
Endogenous,PROM1,NM_006017.1,3.63,3.63,1.00,1.11,3.63,-3.26
Endogenous,PTCH1,NM_000264.3,139.65,139.65,1.00,122.30,139.65,-1.14
Endogenous,PTCRA,NM_138296.2,2.72,2.72,1.00,1.11,2.72,-2.45
Endogenous,PTEN,NM_000314.3,1437.30,1437.30,1.00,1378.63,1437.30,-1.04
Endogenous,PTPN5,NM_001039970.1,1.00,1.00,1.00,1.11,1.00,1.11
Endogenous,PTPRR,NM_001207015.1,126.95,126.95,1.00,131.19,126.95,1.03
Endogenous,PTTG2,NM_006607.2,1141.68,1141.68,1.00,953.92,1141.68,-1.20
Endogenous,RAC1,NM_198829.1,3236.42,3236.42,1.00,3073.01,3236.42,-1.05
Endogenous,RAC2,NM_002872.3,35.37,35.37,1.00,26.68,35.37,-1.33
Endogenous,RAC3,NM_005052.2,184.08,184.08,1.00,150.09,184.08,-1.23
Endogenous,RAD21,NM_006265.2,4447.92,4447.92,1.00,4225.95,4447.92,-1.05
Endogenous,RAD50,NM_005732.2,420.76,420.76,1.00,412.48,420.76,-1.02
Endogenous,RAD51,NM_133487.2,369.07,369.07,1.00,386.91,369.07,1.05
Endogenous,RAD52,NM_134424.2,290.18,290.18,1.00,263.50,290.18,-1.10
Endogenous,RAF1,NM_002880.2,670.13,670.13,1.00,609.27,670.13,-1.10
Endogenous,RASA4,NM_001079877.2,381.77,381.77,1.00,374.68,381.77,-1.02
Endogenous,RASAL1,NM_004658.1,12.70,12.70,1.00,8.89,12.70,-1.43
Endogenous,RASGRF1,NM_153815.2,4.53,4.53,1.00,1.11,4.53,-4.08
Endogenous,RASGRF2,NM_006909.1,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,RASGRP1,NM_005739.3,35.37,35.37,1.00,41.14,35.37,1.16
Endogenous,RB1,NM_000321.1,974.82,974.82,1.00,882.77,974.82,-1.10
Endogenous,RBX1,NM_014248.2,2724.07,2724.07,1.00,2668.32,2724.07,-1.02
Endogenous,RELA,NM_021975.3,354.56,354.56,1.00,339.10,354.56,-1.05
Endogenous,RELN,NM_005045.2,36.27,36.27,1.00,41.14,36.27,1.13
Endogenous,RET,NM_020630.4,5.44,5.44,1.00,3.34,5.44,-1.63
Endogenous,RFC3,NM_002915.3,2027.63,2027.63,1.00,2065.72,2027.63,1.02
Endogenous,RFC4,NM_181573.2,1251.40,1251.40,1.00,1216.31,1251.40,-1.03
Endogenous,RHOA,NM_001664.2,1300.37,1300.37,1.00,1300.80,1300.37,1.00
Endogenous,RIN1,NM_004292.2,19.04,19.04,1.00,28.91,19.04,1.52
Endogenous,RNF43,NM_017763.4,66.20,66.20,1.00,72.27,66.20,1.09
Endogenous,RPA3,NM_002947.3,13.60,13.60,1.00,15.57,13.60,1.14
Endogenous,RPS27A,NM_002954.5,64241.34,64241.34,1.00,72694.97,64241.34,1.13
Endogenous,RPS6KA5,NM_004755.2,132.39,132.39,1.00,134.53,132.39,1.02
Endogenous,RPS6KA6,NM_014496.1,186.80,186.80,1.00,142.31,186.80,-1.31
Endogenous,RRAS2,NM_001102669.2,592.15,592.15,1.00,601.48,592.15,1.02
Endogenous,RUNX1,NM_001754.4,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,RUNX1T1,NM_004349.2,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,RXRG,NM_006917.3,5.44,5.44,1.00,4.45,5.44,-1.22
Endogenous,SETBP1,NM_015559.2,204.03,204.03,1.00,160.10,204.03,-1.27
Endogenous,SETD2,NM_014159.6,359.10,359.10,1.00,329.09,359.10,-1.09
Endogenous,SF3B1,NM_001005526.1,1812.72,1812.72,1.00,1696.61,1812.72,-1.07
Endogenous,SFN,NM_006142.3,2895.45,2895.45,1.00,2715.01,2895.45,-1.07
Endogenous,SFRP1,NM_003012.3,5.44,5.44,1.00,7.78,5.44,1.43
Endogenous,SFRP2,NM_003013.2,9.97,9.97,1.00,3.34,9.97,-2.99
Endogenous,SFRP4,NM_003014.2,3.63,3.63,1.00,4.45,3.63,1.23
Endogenous,SGK2,NM_170693.1,77.08,77.08,1.00,66.71,77.08,-1.16
Endogenous,SHC1,NM_183001.4,1122.63,1122.63,1.00,1091.79,1122.63,-1.03
Endogenous,SHC2,NM_012435.2,47.15,47.15,1.00,53.37,47.15,1.13
Endogenous,SHC3,NM_016848.5,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,SHC4,NM_203349.2,30.83,30.83,1.00,21.12,30.83,-1.46
Endogenous,SIN3A,NM_015477.1,334.61,334.61,1.00,295.74,334.61,-1.13
Endogenous,SIRT4,NM_012240.1,23.58,23.58,1.00,33.35,23.58,1.41
Endogenous,SIX1,NM_005982.3,15.42,15.42,1.00,10.01,15.42,-1.54
Endogenous,SKP1,NM_170679.2,8468.73,8468.73,1.00,9032.25,8468.73,1.07
Endogenous,SKP2,NM_005983.2,1364.75,1364.75,1.00,1308.59,1364.75,-1.04
Endogenous,SMAD2,NM_001003652.1,545.90,545.90,1.00,513.65,545.90,-1.06
Endogenous,SMAD3,NM_005902.3,175.01,175.01,1.00,242.37,175.01,1.38
Endogenous,SMAD4,NM_005359.3,703.69,703.69,1.00,711.55,703.69,1.01
Endogenous,SMAD9,NM_005905.2,563.13,563.13,1.00,593.70,563.13,1.05
Endogenous,SMARCA4,NM_003072.3,1753.78,1753.78,1.00,1609.88,1753.78,-1.09
Endogenous,SMARCB1,NM_003073.3,678.30,678.30,1.00,617.05,678.30,-1.10
Endogenous,SMC1A,NM_006306.2,833.36,833.36,1.00,803.83,833.36,-1.04
Endogenous,SMC1B,NM_148674.3,47.15,47.15,1.00,57.81,47.15,1.23
Endogenous,SMC3,NM_005445.3,1784.61,1784.61,1.00,1738.85,1784.61,-1.03
Endogenous,SMO,NM_005631.3,13.60,13.60,1.00,14.45,13.60,1.06
Endogenous,SOCS1,NM_003745.1,14.51,14.51,1.00,20.01,14.51,1.38
Endogenous,SOCS2,NM_003877.3,40.81,40.81,1.00,45.58,40.81,1.12
Endogenous,SOS1,NM_005633.2,314.66,314.66,1.00,333.54,314.66,1.06
Endogenous,SOS2,NM_006939.2,146.00,146.00,1.00,151.20,146.00,1.04
Endogenous,SOST,NM_025237.2,5.44,5.44,1.00,2.22,5.44,-2.45
Endogenous,SOX17,NM_022454.3,9.07,9.07,1.00,3.34,9.07,-2.72
Endogenous,SOX9,NM_000346.2,827.92,827.92,1.00,673.75,827.92,-1.23
Endogenous,SP1,NM_003109.1,321.01,321.01,1.00,311.30,321.01,-1.03
Endogenous,SPOP,NM_001007226.1,30.83,30.83,1.00,36.69,30.83,1.19
Endogenous,SPP1,NM_000582.2,2.72,2.72,1.00,3.34,2.72,1.23
Endogenous,SPRY1,NM_005841.1,83.43,83.43,1.00,92.28,83.43,1.11
Endogenous,SPRY2,NM_005842.2,263.88,263.88,1.00,277.95,263.88,1.05
Endogenous,SPRY4,NM_030964.3,148.72,148.72,1.00,164.55,148.72,1.11
Endogenous,SRSF2,NM_003016.3,1219.66,1219.66,1.00,1053.99,1219.66,-1.16
Endogenous,STAG2,NM_001042749.1,912.25,912.25,1.00,836.07,912.25,-1.09
Endogenous,STAT1,NM_007315.2,354.56,354.56,1.00,361.33,354.56,1.02
Endogenous,STAT3,NM_139276.2,482.42,482.42,1.00,429.15,482.42,-1.12
Endogenous,STAT4,NM_003151.2,15.42,15.42,1.00,14.45,15.42,-1.07
Endogenous,STK11,NM_000455.4,340.96,340.96,1.00,311.30,340.96,-1.10
Endogenous,STMN1,NM_203401.1,4763.49,4763.49,1.00,4846.33,4763.49,1.02
Endogenous,SUV39H2,NM_024670.3,734.52,734.52,1.00,746.02,734.52,1.02
Endogenous,SYK,NM_003177.3,335.52,335.52,1.00,259.05,335.52,-1.30
Endogenous,TBL1XR1,NM_024665.4,2176.35,2176.35,1.00,2195.80,2176.35,1.01
Endogenous,TCF3,NM_003200.2,999.31,999.31,1.00,806.05,999.31,-1.24
Endogenous,TCF7L1,NM_031283.1,9.97,9.97,1.00,10.01,9.97,1.00
Endogenous,TCL1B,NM_004918.2,5.44,5.44,1.00,1.11,5.44,-4.89
Endogenous,TET2,NM_001127208.2,511.44,511.44,1.00,516.99,511.44,1.01
