Ratio Data Name,Column,Column2,22rv1|nt|6h,Reference,22rv1|nt|6h vs. Reference,22rv2|olaparib|6h,Reference2,22rv2|olaparib|6h vs. Reference
Endogenous,CASP8,NM_001228.4,78.89,78.89,1.00,70.04,78.89,-1.13
Endogenous,CASP9,NM_001229.2,116.07,116.07,1.00,105.62,116.07,-1.10
Endogenous,CBL,NM_005188.2,107.91,107.91,1.00,93.39,107.91,-1.16
Endogenous,CBLC,NM_012116.3,38.99,38.99,1.00,35.58,38.99,-1.10
Endogenous,CCNA2,NM_001237.2,2338.67,2338.67,1.00,2049.05,2338.67,-1.14
Endogenous,CCNB1,NM_031966.2,3139.39,3139.39,1.00,2527.12,3139.39,-1.24
Endogenous,CCNB3,NM_033671.1,20.86,20.86,1.00,7.78,20.86,-2.68
Endogenous,CCND1,NM_053056.2,10435.60,10435.60,1.00,9422.50,10435.60,-1.11
Endogenous,CCND2,NM_001759.2,3.63,3.63,1.00,2.22,3.63,-1.63
Endogenous,CCND3,NM_001760.2,167.76,167.76,1.00,146.76,167.76,-1.14
Endogenous,CCNE1,NM_001238.1,177.74,177.74,1.00,163.43,177.74,-1.09
Endogenous,CCNE2,NM_057735.1,698.25,698.25,1.00,743.79,698.25,1.07
Endogenous,CCNO,NM_021147.3,8.16,8.16,1.00,3.34,8.16,-2.45
Endogenous,CD14,NM_000591.2,10.88,10.88,1.00,5.56,10.88,-1.96
Endogenous,CD19,NM_001770.4,11.79,11.79,1.00,16.68,11.79,1.41
Endogenous,CD40,NM_001250.4,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,CDC14A,NM_033313.2,445.25,445.25,1.00,418.04,445.25,-1.07
Endogenous,CDC14B,NM_003671.3,39.90,39.90,1.00,28.91,39.90,-1.38
Endogenous,CDC25A,NM_001789.2,515.07,515.07,1.00,471.40,515.07,-1.09
Endogenous,CDC25B,NM_021873.2,653.81,653.81,1.00,764.92,653.81,1.17
Endogenous,CDC25C,NM_001790.2,106.10,106.10,1.00,68.93,106.10,-1.54
Endogenous,CDC6,NM_001254.3,1972.32,1972.32,1.00,1986.78,1972.32,1.01
Endogenous,CDC7,NM_003503.2,425.30,425.30,1.00,354.66,425.30,-1.20
Endogenous,CDH1,NM_004360.2,2810.21,2810.21,1.00,2320.32,2810.21,-1.21
Endogenous,CDK2,NM_001798.2,545.90,545.90,1.00,516.99,545.90,-1.06
Endogenous,CDK6,NM_001259.5,172.29,172.29,1.00,115.63,172.29,-1.49
Endogenous,CDKN1A,NM_000389.2,573.11,573.11,1.00,1082.89,573.11,1.89
Endogenous,CDKN1B,NM_004064.2,314.66,314.66,1.00,301.30,314.66,-1.04
Endogenous,CDKN1C,NM_000076.2,166.85,166.85,1.00,212.35,166.85,1.27
Endogenous,CDKN2A,NM_000077.3,87.05,87.05,1.00,63.37,87.05,-1.37
Endogenous,CDKN2B,NM_004936.3,24.48,24.48,1.00,21.12,24.48,-1.16
Endogenous,CDKN2C,NM_001262.2,363.63,363.63,1.00,235.70,363.63,-1.54
Endogenous,CDKN2D,NM_001800.3,127.86,127.86,1.00,121.19,127.86,-1.06
Endogenous,CEBPA,NM_004364.2,110.63,110.63,1.00,86.72,110.63,-1.28
Endogenous,CEBPE,NM_001805.2,6.35,6.35,1.00,2.22,6.35,-2.85
Endogenous,CHEK2,NM_007194.3,186.80,186.80,1.00,202.35,186.80,1.08
Endogenous,CHUK,NM_001278.3,1010.19,1010.19,1.00,1039.53,1010.19,1.03
Endogenous,CIC,NM_015125.3,117.89,117.89,1.00,66.71,117.89,-1.77
Endogenous,CLCF1,NM_013246.2,44.43,44.43,1.00,28.91,44.43,-1.54
Endogenous,CNTFR,NM_147164.1,97.03,97.03,1.00,71.16,97.03,-1.36
Endogenous,COL11A1,NM_001854.3,3.63,3.63,1.00,5.56,3.63,1.53
Endogenous,COL11A2,NM_001163771.1,6.35,6.35,1.00,3.34,6.35,-1.90
Endogenous,COL24A1,NM_152890.5,18.14,18.14,1.00,7.78,18.14,-2.33
Endogenous,COL27A1,NM_032888.2,18.14,18.14,1.00,24.46,18.14,1.35
Endogenous,COL2A1,NM_001844.4,64.38,64.38,1.00,43.36,64.38,-1.48
Endogenous,COL4A3,NM_000091.3,8.16,8.16,1.00,10.01,8.16,1.23
Endogenous,COL4A4,NM_000092.4,5.44,5.44,1.00,5.56,5.44,1.02
Endogenous,COL4A5,NM_033381.1,283.83,283.83,1.00,286.84,283.83,1.01
Endogenous,COL4A6,NM_001847.2,8.16,8.16,1.00,4.45,8.16,-1.84
Endogenous,COL5A1,NM_000093.3,1.00,1.00,1.00,2.22,1.00,2.22
Endogenous,COL5A2,NM_000393.3,209.47,209.47,1.00,193.45,209.47,-1.08
Endogenous,COL6A6,NM_001102608.1,3.63,3.63,1.00,3.34,3.63,-1.09
Endogenous,COMP,NM_000095.2,5.44,5.44,1.00,7.78,5.44,1.43
Endogenous,CREB3L1,NM_052854.1,21.76,21.76,1.00,23.35,21.76,1.07
Endogenous,CREB3L3,NM_001271995.1,1.00,1.00,1.00,3.34,1.00,3.34
Endogenous,CREB3L4,NM_130898.2,122.42,122.42,1.00,112.29,122.42,-1.09
Endogenous,CREB5,NM_182898.2,117.89,117.89,1.00,105.62,117.89,-1.12
Endogenous,CREBBP,NM_004380.2,37.18,37.18,1.00,20.01,37.18,-1.86
Endogenous,CRLF2,NM_001012288.1,2.72,2.72,1.00,3.34,2.72,1.23
Endogenous,CSF1R,NM_005211.2,2.72,2.72,1.00,1.11,2.72,-2.45
Endogenous,CSF2,NM_000758.2,1.00,1.00,1.00,3.34,1.00,3.34
Endogenous,CSF3,NM_000759.3,2.72,2.72,1.00,3.34,2.72,1.23
